h,t,n,h_p,i,w,C,W,V,M_y,M_Rd,M_y/M_Rd,V_z,V_Rd,V_z/V_Rd,P_z,N_Rd,P_z/N_Rd,u_z,u_z/u_zul,u_z,u_z/u_zul,f_gs0,f_gs1,f_gs2,fh_0,fh_1,fh_2,BC0,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,BC10
1.641912341,0.164260596,2,1.126439214,1,6.96,123865.69,272.91,109.17,-8301.29,5419.9,1.53,1189.59,982.61,1.21,1137.59,29140.9,0.04,27.1,0.45,93.42,1.8,1.35,2.03,2.97,2.43,4.11,4.26,0,0,0,0,0,0,0,0,1,0,0
0.909511447,0.162947491,2,0.91728127,1,3.45,90068,199.47,79.79,-6116.67,2939.08,2.08,936.2,822.46,1.14,763.47,20591.7,0.04,53.4,0.95,171.23,3.54,1,1.74,2.07,1.81,2.78,3.29,0,0,0,0,0,0,0,0,1,0,0
0.412072062,0.335213363,2,1.288841486,0,0.83,123552.81,271.22,108.49,-3786.33,1254.14,3.02,597.8,570.73,1.05,381.34,36985.84,0.01,253.2,4.97,783.43,17.93,0.62,0.88,0.97,1.14,1.32,2.29,1,0,0,0,0,0,0,0,0,0,0
1.683020473,0.206018031,3,1.084801078,3,4.72,137334.31,305.81,122.32,-4389.21,5559.14,0.79,-1084.79,988.45,1.1,699.01,27299.46,0.03,14.8,0.26,45.54,0.94,2.58,3.34,3.58,4.35,6.13,7.37,0,0,0,1,0,0,0,0,0,1,1
1.084273577,0.246964067,7,1.056088924,1,4,134628.9,301.47,120.59,-6375.25,3531.04,1.81,-1193.69,873.93,1.37,189.57,26070.07,0.01,26.9,0.47,65.78,1.34,1.3,2.59,3.23,3.41,4.54,6.48,0,0,0,0,0,0,0,0,1,0,0
1.268244267,0.175660118,2,1.148808002,2,4.9,105663.18,231.8,92.72,-7457.44,4154.2,1.8,-1183.71,917.26,1.29,667.61,30158.79,0.02,40.2,0.74,105.41,2.28,1.25,1.95,2.65,2.25,3.37,4.18,0,0,0,0,1,0,0,0,0,0,0
2.298241377,0.058733676,4,0.731078565,2,5.39,47285.27,104.7,41.88,-3513.59,7643.04,0.46,-668.68,1055.49,0.63,173.94,14453.11,0.01,23.3,0.43,47.45,1.02,1.64,3.31,3.38,3.28,5.88,8.25,0,0,0,0,1,0,0,0,0,0,0
1.308410645,0.184377879,2,0.908004582,0,0.78,100645.63,223.53,89.41,-6685.79,4290.25,1.56,1074.56,925.57,1.16,699.66,20253.04,0.04,20.8,0.41,62.63,1.43,1.55,2.71,3.4,3.24,3.51,4.33,1,0,0,0,0,0,0,0,0,0,0
2.765718937,0.116390787,3,1.1926682,1,2.63,105035.54,230.13,92.05,-5208.25,9226.5,0.56,-959.55,1089.67,0.88,397.84,32212.75,0.01,5.4,0.1,12.14,0.26,2.44,4.83,5.44,5.88,7.44,11.44,0,0,0,0,1,0,0,0,1,0,0
1.251306772,0.232148573,2,0.771066546,1,1.65,120824.02,270.83,108.33,-7616.65,4096.83,1.86,1224.59,913.65,1.34,846.91,15654.47,0.05,19.9,0.38,61.32,1.37,1.45,2.48,3.2,2.84,3.36,4.14,0,0,0,0,1,0,0,0,0,0,0
